POSITION_TITLE,QUALIFICATIONS,EDUCATION_TYPE,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,AWARDS,COMMUNITY_SERVICE,VOLUNTEERING,DRIVERS_LICENSE_AVAILABILITY,SKILLS_COUNT,SKILLS,LANGUAGES
HR ASSISTANT,"Highly motivated, and a dynamic Human Resources professional with diverse credentials seeking a position with a growing organization to make a positive impact on company policies, and experience career growth",Bachelor,college,,3.0,no,no,yes,no,45,"['Accounting', 'ADP', 'analytical skills', 'AP', 'AR', 'Benefits', 'billing', 'Call center', 'Great communication skills', 'Interpersonal skills', 'credit', 'clients', 'Customer Service', 'customer service skills', 'database', 'Detail-oriented', 'Employee Relations', 'expense reports', 'Filling', 'Filing', 'hiring', 'Human Resource Management', 'Human Resources', 'Human resources 1', 'processing of invoices', 'leadership', 'ledger', 'logistics', 'mentor', 'MS Office Suite', 'Office Management', 'Oracle', 'Organizational Development', 'payroll processing', 'Peachtree', 'personnel', 'promotion', 'QuickBooks', 'Recruitment', 'Scheduling', 'Spreadsheets', 'spreadsheet', 'telephone', 'phone', 'website']",1
HR MANAGER,Human Resources Manager with practical understanding of business needs,Master,university,public administration,11.0,no,no,no,no,42,"['Administrative', 'administrative support', 'advertising', 'as set', 'benefits', 'business plan', 'clarify', 'Good communication skills', 'Interpersonal Skills', 'continuous improvement', 'decision making', 'English', 'Film', 'hiring', 'Human Resource', 'HR', 'law', 'legal compliance', 'Managerial', 'Managing', 'Exchange', 'organizational', 'payroll', 'performance appraisal', 'performance management', 'personnel', 'policies', 'processes', 'procurement', 'progress', 'promotion', 'speaking', 'purchase requisitions', 'Purchasing', 'Recruitment', 'recruiting', 'reporting', 'scheduling', 'strategic', 'strategic plans', 'Type', 'workflow']",1
HR MANAGER,To obtain a position that offers many opportunities for growth and development that will enhance my existing knowledge in Management and Leadership,Bachelor,college,arts,11.0,no,no,no,no,16,"['Management', 'Administrative Support', 'Coach', 'Excellent communication skills', 'Customer service', 'French', 'Human resources', 'Leadership', 'Team Lead', 'Mentor', 'Effective communicator', 'Project Management', 'Project Lead', 'Researching', 'Spanish', 'Supervision']",2
HR GENERALIST,"A people-oriented, results-driven professional with outstanding communication skills",Bachelor,college,,21.0,no,no,yes,no,23,"[' ACA', 'ADP Payroll', 'AS400', 'benefits', 'benefits administration', 'consultation', 'ERP', 'hiring', 'HRIS', 'Internet Explorer', 'Kronos', 'labor relations', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'organization development', 'payroll', 'PeopleSoft', 'personnel policies', 'recruitment', 'SOX', 'employee handbook']",1
HR COORDINATOR,"Applicant Screening, Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, EEO Inquiries, Employee Relations, Event Planning, Full-Cycle Recruitment, Interviewing, Investigations, New Hire Orientation, Performance Evaluations, Reference Checks, Policy & Procedure Administration, Training and Development, Worker's Compensation, Unemployment Claims",Bachelor,university,human resources management,16.0,yes,no,no,no,28,"['administrative', 'ad', 'arbitration', 'agency', 'budget', 'Consultant', 'database', 'Employee Relations', 'hiring', 'HRIS', 'Human Resource', 'human resources', 'HR', 'team building', 'Leadership', 'materials', 'meetings', 'newsletter', 'organizational', 'performance management', 'personnel', 'presentations', 'processes', 'recruiting', 'recruitment', 'reporting', 'staffing', 'teacher']",1
HR CLERK,"I am an ethical, team oriented and policy driven individual with experience in AP/AR, Human Resource Administration, Auditing, Documentation experience, Property Management (96 Units) and a vast number of computer skills",Bachelor,,human resource management,11.0,yes,no,no,no,0,[],1
HR ANALYST,"Experienced professional with background in Human Resources, Administrative, and Customer Service environments",Bachelor,university,psychology,8.0,no,no,no,no,0,[],1
HR DIRECTOR,"Analytical Skills		Good Interpersonal Skills		Organizational Skills		Communication Skills  Recruiting and Staffing	Performance Management 		Employee Relations		Selection/Recruiting  Employee Orientation	Training & Development		Policy & Procedure Writing	Detail Organization  Staff Supervision		Employee Records System		On-the-job Training		Job Analysis  Cold Calling		Internet Sourcing			Compensation			Labor Laws  Labor Policies		Equal Employment Opportunity	Interviewing			Discipline Issues  Social Networking	Recruitment Advertising		Campus Recruiting		OSHA Standards  Employee Grievance	Employee Verification		Screen/Schedule Candidates	Community Outreach  Computer Skills  Microsoft Office Word	Excel		Outlook	   PowerPoint	 	   Publisher	    Health Care IS  HRIS Systems		PeopleSoft	Child Care IS	   Day Care Software	   QuickBooks	    Data Input              Accomplishments     Devised a successful recruiting plan for my employer, which resulted in 25 new employees in 2-months",Bachelor,university,business administration business,17.0,yes,no,yes,no,23,"['crosoft Office Word\tExcel\t\tOutlook\t   PowerPoint\t \t   Publisher\t    Health Care IS  HRIS Systems\t\tPeopleSoft\tChild Care IS\t   Day Care Software\t   QuickBooks\t    Data Input              Accomplishments     Devised a successful recruiting plan for my employer', 'which resulted in 25 new employees in 2-months.       Experience      Company Name     January 2014   to   January 2015     HR Director     State      Communicate orally and written with children', 'parents', 'staff', 'volunteers', 'guardians', 'therapist', 'case workers with a variety of economic backgrounds', 'with clear and precise understanding withholding confidential or sensitive information with discretion.  Develop', 'implement', 'and monitor training programs suitable for employee retention.  Skilled in identifying problems', 'and determining accurate and relevance of information', 'by using sound judgment to generate and evaluate an alternative while making a decision.  Develop policies and procedures', 'to include researching', 'drafting', 'editing and revising according to the federal', 'state', 'and county laws as well as assuring these policies and procedures are met.  Pre-screen to ensure candidate is a strong fit for the position by matching individuals skills with the needs of the organization.  Knowledge of federal laws eligibility status and procedures pertaining to the full array of benefits in order to provide advice and support to claimants.  Provide facility with classroom training', 'demonstrations', 'on-the-job training', 'meetings', 'conferences', 'and workshops and leadership development education']",1
HR GENERALIST,Human Resource Generalist who is an great communicator and negotiator with strong conflict resolution skills,Master,university,economic,10.0,no,no,no,no,27,"['ADP', 'benefits', 'closing', 'Coach', 'coaching', 'competitive', 'customer service', 'database', 'hiring', 'HRIS', 'HR', 'insurance', 'logistics', 'Director', 'mentoring', 'windows', 'performance management', 'personnel', 'Policies', 'processes', 'protocols', 'quality', 'recruiting', 'recruitment', 'sales', 'staffing', 'workflow']",1
HR CONSULTING,7+ years of Experience as a HR Partner with experience in all the facets of the Human Resource Function,Master,university,human resource management,7.0,yes,no,no,no,30,"['benefits', 'budget', 'client', 'delivery', 'hiring', 'Human Resource', 'HR', 'Insurance', 'Leadership', 'People Management', 'Managerial', 'Managing', 'market', 'Mentor', 'MIS', 'negotiations', 'networking', 'Internet research', 'optimization', 'Organization Development', 'payroll', 'Performance Management', 'philosophy', 'policies', 'processes', 'promotion', 'Recruitment', 'recruiting', 'seminars', 'strategic']",1
HR GENERALIST,"Young, dedicated and focused office administrative assistant who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals",Bachelor,university,bachelor of arts,3.0,yes,no,no,no,26,"['business development', 'central point of contact', 'closing', 'client', 'clients', 'email', 'employee relations', 'fashion', 'fast', 'faxes', 'meetings', 'access', 'mail', 'office', 'PowerPoint presentations', 'neat', 'payroll', 'personnel', 'quality', 'receptionist', 'reception', 'sales', 'spreadsheets', 'spreadsheet', 'telephone', 'employee handbooks']",1
HR ASSOCIATE,,Bachelor,university,science,3.0,no,no,yes,no,2,"['      Recruiting  Onboarding  Project Management  Event Planning  Employee Relations  Teamwork/Collaboration  Training and Development  Public Speaking  Social Media Marketing  ADP  Workday  Microsoft Office Suite  ADP  Benefits  Branding  Budget  Oral communication  Competitive  Email      Employee Relations  Event Planning  Focus  Hiring  HRIS  HR  Leadership  Marketing  MS Excel  Microsoft Office Suite  Product manager  Project Management  Public Speaking  Recruiting  Recruitment  Researching  Strategy  Teamwork  Workshops  Written            Work History      HR Associate', '']",1
HR SPECIALIST,An Human Resources Specialist  with over  9  years in recruitment and federal employment processes,Master,university,arts,9.0,yes,no,no,no,9,"['Agency marketing and branding', 'Human Resource Management', 'Human Resources', 'critical and analytical thinking', 'Leadership Development', 'Lead HR\xa0Special Project', 'research and development', 'event organizer', 'journalism']",1
HR COORDINATOR,"Certified Human Resources Professional with extensive employee relations experience in a full range of functions, as well as success in simultaneously managing multiple projects",Bachelor,university,human resource management,,no,no,no,no,17,"['benchmarking', 'benefits', 'conflict resolution', 'direction', 'Employee Relations', '', 'performance management', 'personnel', 'policies', 'processes', 'recruitment', 'research', 'Safety', 'staffing', 'strategic', 'training programs', '']",1
HR GENERALIST,,Bachelor,university,science,11.0,no,no,no,no,23,"['ADA', 'ADP', 'benefits', 'clarify', 'employee relations', 'human resource', 'Human Resources', 'HR', 'insurance', 'law enforcement', 'mediation', 'MS Office', 'office', 'SharePoint', 'Organizational', 'performance management', 'personnel', 'policies', 'promotion', 'recruiting', 'recruitment', 'employee handbooks', 'vendor management']",1
HR COORDINATOR,Highly efficient Hr Coordinator well established in administrative environments that are fast-paced and challenging,Bachelor,university,,,no,no,no,no,29,"[' Qualifications     Microsoft Sharepoint', 'SAP', 'Sharepoint', 'Excel', 'Groupwise', 'Incoming Calls', 'Ms Office', 'Ms Outlook', 'Outlook', 'Phone System', 'Receptionist', 'Recruiter', 'Sterling Inforsystems', 'Orange Tree Employment Services', 'Kenexa - IBM Products', 'Ultipro', 'New Hires', 'Sarbanes-Oxley (SOX)', 'Scheduling', 'Access', 'Applicant Tracking System', 'Best Practices', 'Database', 'Databases', 'Employee Performance', 'Entry Level', 'Filing', 'Leads', 'Performance Review']",1
HR MANAGER,"Background of progressively responsible Human Resources experience in union and non-union, ISO and FDA regulated manufacturing environments Knowledge of State and Federal employment laws Ability to work effectively with all levels of employees and management, maintaining integrity, professionalism and confidentiality Ability to develop positive working relationships with TPAs, benefit service providers, recruiting firms and vendors Proficient in Excel, Word, Powerpoint; experience with Ceridian HRIS, Paychex and ADP payroll systems           Experience      HR Manager/Generalist   02/2012   to   Current     Company Name   City  ,   State       responsible for day to day HR functions for leading manufacturer of cryogenic reciprocating and centrifugal pumps and turbo-expanders with approximately 200 employees Preparation of weekly payroll for submission to Corporate Payroll Department Implement successful recruiting efforts to support company growth in engineering and operations departments; new hire orientation; tracking and monitoring of temporary and contract to hire labor Prepare and manage personnel transactions such as new hires, terminations, etc",Master,,science degree,26.0,yes,no,no,no,33,"['ADP payroll', 'Attorney', 'benefits', 'billing', 'billings', 'Ceridian', 'charts', 'coaching', 'competitive', 'contract negotiations', 'counseling', 'employee relations', 'features', 'forms', 'HRIS', 'HR', 'insurance', 'law', 'management reporting', 'office', 'organizational', 'Payroll', 'performance reviews', 'personnel', 'policies', 'power supply', 'proposal', 'recruiting', 'recruitment', 'research', 'Safety', 'staffing', 'vision']",1
HR REPRESENTATIVE,"Experienced human resources professional with working knowledge of state and federal employment laws and regulations, dedicated to improving employee satisfaction, management-employee relations, and working conditions through commitment, communication, confidentiality, and a sense of urgency",Master,university,,3.0,no,no,no,no,37,"['ADA', 'Administrative Assistant', 'benefits', 'Ceridian', 'charts', 'coaching', 'consulting', 'counseling', 'CPR certified', 'excellent customer service', 'employee relations', 'special events', 'financial', 'First Aid', 'food safety', 'hiring', 'human resources', 'HR', 'insurance', 'Kronos', 'Law', 'long-term care', 'mechanic', 'meetings', 'Payroll', 'performance reviews', 'personnel', 'policies', 'quality assurance', 'recruitment', 'repairs', 'Safety', 'scheduling', 'staffing', 'supervisor', 'supervisory', 'training programs']",1
HR DIRECTOR,"Small business development  Project management  Leadership/communication skills  Employee relations  Self-motivated  Staff Development  Start-UPS  Team Player  Total quality management              Core Accomplishments      Project Management:    Monitored the operation of eleven Renewable Wind projects implemented the process for hiring, documentation control between owner and contractors, complete set-up of the office facility on site",Master,university,business,20.0,no,no,yes,no,23,"['administrative', 'budget', 'contracts', 'customer service', 'documentation', 'expense reports', 'financial', 'government', 'hiring', 'HR', 'Office', 'office administration', 'office management', 'payroll', 'personnel', 'processes', 'proposals', 'quality', 'quality assurance', 'Roscoe', 'sales', 'supervising', 'transmission']",1
HR INTERN,,Master,university,arts,8.0,no,no,yes,no,4,"['  Microsoft Excel', 'Outlook', 'PowerPoint', 'Word']",1
HR ASSISTANT,Interviewing expertise  Employee Relations  Manager Coaching and training  Event management  Employee Handbook development  Staffing and recruiting professional  Off-boarding              Accomplishments      Organized HR Generalist effective at record maintenance and assuring compliance with government employment regulations at all times,Bachelor,college,bachelor of arts,32.0,no,no,no,no,38,"['academic', 'A.I.', 'attention to detail', 'back-up', 'benefits', 'benefits administration', 'budget', 'cash receipts', 'Coaching', 'contracts', 'critical thinking', 'customer satisfaction', 'customer services', 'excellent customer service', 'customer service', 'Employee Relations', 'Event management', 'hiring', 'HR', 'inventory', 'layout', 'leadership', 'meetings', 'Excel', 'organizational skills', 'organizational', 'payroll', 'personnel', 'policies', 'problem-solving', 'reconciling', 'recruiting', 'research', 'retail', 'sales', 'Staffing', 'store manager', 'employee handbooks']",1
HR GENERALIST,"Staff Recruitment & Retention  Employee Relations  Alternative Dispute Resolution (ADR)  Benefits Administration  HR Program/Project Management  Orientation & OnBoarding  HRIS Technologies  Training & Development  Performance Management  Organizational Development HRIS applications (UltiPro, PeopleSoft Enterprise Human Resources, ADP)  MS Office (Word, Excel, PowerPoint, Access, Outlook)            Relevant Experience       Improved department efficiency  80  % through implementation of strategic workflow and process improvements",Bachelor,college,applied science,7.0,yes,no,no,no,47,"['ABC', 'ADP', 'ADR', 'benefits', 'Benefits Administration', 'budget', 'coaching', 'US Army databases', 'driving', 'Employee Relations', 'training\nemployees', 'special events', 'senior management', 'hiring', 'home healthcare', 'HRIS', 'Human Resources', 'HR', 'insurance', 'legal', 'managing', 'meetings', 'Access', 'Excel', 'MS Office', 'office', 'Outlook', 'PowerPoint', 'Word', 'Enterprise', 'Organizational Development', 'PeopleSoft', 'Performance Management', 'personnel', 'policies', 'processes', 'Project Management', 'Recruitment', 'recruiting', 'sales', 'sound', 'Structured', 'supervisor', 'teamwork', 'Video', 'voice and data', 'workshops']",1
HR MANAGER,"TONYA BELL, PHR HUMAN RESOURCES PROFESSIONAL  Organizational Development * Strategic Planning * Talent Management______________________  Change Management  Employee Relations (ER)  Training & Development  Performance Management  HR Information Systems (HRIS)  Organization Development (OD)  Change Management  Employee Relations (ER)  Training & Development  Performance Management  HR Information Systems (HRIS)  Organization Development (OD)  MS Word, PowerPoint, Excel, Access and Publisher, Adobe Illustrator, SAP, Oracle, Ceridian and KRONOS                Professional Experience     03/2013   to   Current     HR Manager    Company Name          The world's largest airline operating nine domestic hubs across the U",Bachelor,university,communications,11.0,yes,no,yes,no,50,"['ADA', 'administrative', 'Adobe Illustrator', 'art', 'agency', 'benefits', 'Ceridian', 'Change Management', 'decision-making', 'DCA', 'Employee Relations', 'special events', 'fast', 'focus', 'hiring', 'HRIS', 'hub', 'hubs', 'Human Resources', 'HR', 'Information Systems', 'KRONOS', 'leadership', 'legal', 'mental health', 'mental illness', 'Access', 'Excel', 'PowerPoint', 'Publisher', 'MS Word', 'Oracle', 'Organizational Development', 'Organization Development', 'organizational', 'Performance Management', 'personnel', 'policies', 'processes', 'recruiting', 'recruitment', 'sales', 'SAP', 'seminars', 'staffing', 'strategic', 'Strategic Planning', 'supervisor', 'surveys', 'workshops']",1
HR CONSULTANT,"Detail-oriented 25 years human resources professional who excels under tight deadlines, while anticipating and averting potential problems by proactively streamlining processes to find the perfect applicant",Bachelor,university,,25.0,yes,no,yes,no,30,"[' ADA', 'advertisements', 'benefits', 'budgets', 'charts', 'competitive', 'counseling', 'databases', 'documentation', 'employee relations', 'firing', 'forms', 'hiring', 'human resources management', 'human resources', 'labor relations', 'legal', 'networking', 'organizing', 'organizational', 'performance appraisals', 'performance appraisals', 'recruiting', 'recruitment', 'research', 'safety', 'staffing', 'supervisory', 'employee development', 'employee handbooks']",1
HR COORDINATOR,To obtain a challenging career in the human resource field where I can utilize my capabilities and experiences to achieve goals as well as my personal development,Bachelor,college,,26.0,no,no,no,no,35,"['cash receipts', 'cash handling', 'cash register', 'client', 'customer service', 'Data entry', 'direction', 'Employee relations', 'faxes', 'fax machines', 'hiring', 'inventory', 'mailing', 'Access', 'Excel', 'mail', 'Office', 'PowerPoint', 'Microsoft Word', 'payroll', 'Process payroll', 'copiers', 'printers', 'Read', 'Receptionist', 'recruiting', 'Routing', 'sales', 'scheduling', 'staffing', 'take messages', 'answer phones', 'phone', 'type', '50 wpm']",1
HR MANAGER,Human Resources Professional with practical understanding of business needs,Bachelor,university,arts,15.0,yes,no,no,no,49,"[' benefits', 'budget analysis', 'budgets', 'budget', 'coaching', 'contract negotiations', 'documentation', 'training employees', 'event planning', 'special events', 'executive management', 'senior management', 'firing', 'forms', 'functional', 'General Manager', 'graphics', 'hiring', 'human resource management', 'Human Resource', 'human resources', 'HR', 'insurance', 'regulatory compliance', 'letters', 'logistics', 'Director', 'managing', 'marketing', 'meetings', 'payroll', 'People Soft', 'personnel', 'policies', 'presentations', 'press releases', 'PR', 'processes', 'promotion', 'recruiting', 'recruitment', 'reporting', 'sales', 'scheduling', 'sound', 'staffing', 'strategic', 'travel arrangements', 'workshops']",1
HR GENERALIST,Human Resource Manager adding value by contributing to company growth and profitability,Bachelor,university,bachelor of science,27.0,no,no,no,no,35,"[' Associate Relations', 'Audits', 'Asset Protection', 'Coaching', 'EEOC Responses', 'Succession Planning', 'Terminations', 'Customer Service', 'Retail Sales', 'Cash Controls', 'Bookkeeping', 'Time Management', 'Budgets', 'Lotus Notes', 'Bakery', 'Merchandising', 'Ordering', 'Sales', 'Sanitation', 'Scheduling', 'Budget Preparation', 'Conflict Management', 'Employment Law', 'Expense Control', 'Internal Investigations', 'On-line Learning', 'Problem Solving', 'Project Management', 'Quick Books', 'Recruiting', 'Retail Marketing', 'Self Motivated', 'Strategic Planning', 'Team Building', 'Training']",1
HR PARTNER,"Experienced Human Resources Business Partner with expertise in partnering with Line of Business Leaders to provide guidance on human capital strategies to include, but not limited to, employee relations, talent management, compensation, etc",Master,university,science,33.0,yes,no,yes,no,0,[],1
HR SPECIALIST,Energetic Administrative Assistant with 30+ years experience in high-level executive support roles,Bachelor,university,"administration commercial
administration",30.0,no,no,no,no,0,[],2
HR DIRECTOR,"Experienced HR Manager over 3 facilities with 10 years of proven HR experience in all areas of Employee Relations, Benefits, 401k Management, Payroll, EEOC, AAP, FAA/DOT, Workers Compensation & Safety",Bachelor,university,,10.0,yes,no,no,no,61,"['processing accounts payable', 'Administrative', 'administrative support', 'Ads', 'audit reporting', 'reconciling bank statements', 'benefits', 'bonds', 'bookkeeping', 'brochures', 'hardware', 'conversion', 'client', 'database', 'Database management', 'delivery', 'designing', 'Documentation', 'e-mail', 'Event Planning', 'fashion', 'faxing', 'filing', 'forms', 'General Ledger', 'government', 'Hiring', 'HRIS', 'Human Resource', 'HR', 'imaging', 'information technology', 'Insurance', 'Law', 'letters', 'Director', 'mailing', 'marketing and sales', 'Meetings', 'money', 'office', 'MIS', 'monitors', 'next', 'Payroll', 'Performance Appraisals', 'Personnel', 'policies', 'radio', 'recording', 'reporting', 'Safety', 'scheduling', 'software installation', 'spreadsheets', 'staffing', 'phone', 'video', 'vision', 'website', 'year']",1
HR EXECUTIVE,Dual specialization in the domain of Human Resource Management and Finance,Bachelor,university,management,1.0,no,no,no,no,0,[],1
HR EXECUTIVE,Forward-thinking HR Generalist highly effective at adapting to evolving market plans and the needs associated with company expansion,Bachelor,university,human resource,1.0,no,no,no,no,9,"['C', 'C++', 'English', 'Hindi', 'Java', 'Languages', 'Microsoft Office', 'SQL', 'Visual Basic 6']",2
HR GENERALIST,,Master,university,business administration,18.0,yes,no,no,no,11,"['    Microsoft Office Suite', 'SAP', 'Kronos', 'IBM', 'ADP', 'ATS', 'MSS', 'HRSS', 'and Oracle', 'Workbrain', 'T']",1
HR ASSISTANT,Human resources understanding  Scheduling proficiency  Market research proficiency  Report generation  Critical thinking  Eye for detail      Self-directed nature  Analytical problem solving  Contracts  Social media and networks  Microsoft Office Suite  PowerPoint  Exceptional telephone etiquette  Patient and diligent            Relevant Experience     Coordinated all department functions for team of 120+ employees,Bachelor,university,business management,4.0,no,no,no,no,38,"[' Administrative Support', 'Anti-Virus', 'billing', 'budget', 'oral communication', 'conferences', 'clients', 'customer satisfaction', 'databases', 'documentation', 'Finance', 'Help Desk', 'Inside Sales', 'marketing', 'meetings', 'Access database', 'Excel spreadsheets', 'PowerPoint', 'Microsoft Word', 'Office Manager', 'Organizing', 'pricing', 'printers', 'problem solving', 'processes', 'coding', 'purchasing', 'Quality', 'recording', 'recruitment', 'sales', 'scheduling', 'spreadsheets', 'Surveys', 'travel arrangements', 'troubleshooting', 'websites', 'written communication']",1
